user_id,profile,monthly_incomes,mean_income,income_std,income_trend,fixed_expenses,cash_flow_health_ratio,num_income_sources,total_bills,on_time_payments,avg_delay_days,recharge_regularity,recurring_payments_detected,emi_consistency_score,total_transactions,txn_regularity_score,essential_ratio,has_recurring_savings,min_balance_maintained,avg_monthly_savings,platforms,tenure_months,platform_rating,active_days_per_month,shock_recovery_score,default
USR0001,good,"[19372, 18279, 17730, 20879, 18770, 17984]",18835.67,1058.69,-66.23,5966.04,0.6833,2,19,18,0.0,0.99,2,0.86,216,0.5833,0.6916,1,1,6843,"[""Dunzo"", ""Zomato""]",23,4.7,26,1.0,0
USR0002,good,"[28291, 30468, 28521, 32117, 29701, 31228]",30054.33,1377.71,456.57,13362.82,0.5554,2,21,18,1.6,0.87,3,0.87,213,0.6683,0.7689,1,1,3968,"[""Ola"", ""Zomato""]",23,4.4,23,1.0,0
USR0003,good,"[28277, 27219, 27805, 29540, 28031, 27830]",28117.0,712.28,55.31,10582.19,0.6236,2,13,12,1.1,0.96,2,0.96,217,0.5643,0.8015,1,1,4084,"[""UrbanClap"", ""Ola""]",39,4.7,27,1.0,0
USR0004,moderate,"[13508, 20260, 18637, 20373, 17220, 16396]",17732.33,2383.06,201.6,8271.47,0.5335,2,22,15,6.2,0.54,2,0.77,142,0.5312,0.7121,1,0,2568,"[""Swiggy"", ""Zomato""]",8,4.1,18,1.0,0
USR0005,good,"[32438, 30270, 29297, 26840, 29502, 31691]",30006.33,1807.57,-242.74,9648.83,0.6784,1,13,12,1.8,0.91,3,0.95,228,0.656,0.7375,1,1,7038,"[""UrbanClap""]",46,4.4,22,1.0,0
USR0006,good,"[44061, 41829, 41317, 42307, 40235, 46375]",42687.33,2010.76,222.23,11818.2,0.7231,2,13,11,1.5,0.87,2,0.89,210,0.6177,0.7767,1,1,4349,"[""Swiggy"", ""Zomato""]",33,4.8,27,1.0,0
USR0007,moderate,"[25941, 20330, 29157, 19682, 19512, 17883]",22084.17,4041.73,-1491.97,9709.74,0.5603,1,18,13,4.2,0.77,2,0.68,125,0.5242,0.6715,0,1,2348,"[""Zomato""]",18,4.3,22,0.5,0
USR0008,moderate,"[28478, 25352, 23192, 30611, 32807, 28812]",28208.67,3180.14,898.69,17172.49,0.3912,3,19,13,2.3,0.72,2,0.78,150,0.641,0.7364,1,0,1586,"[""Uber"", ""Ola"", ""Zomato""]",16,4.0,19,1.0,0
USR0009,good,"[28922, 26647, 26981, 28064, 28513, 27969]",27849.33,801.15,54.74,11455.87,0.5886,2,15,13,1.6,0.93,2,0.8,225,0.6062,0.7751,1,1,4660,"[""Ola"", ""Dunzo""]",13,4.3,25,1.0,0
USR0010,good,"[20536, 21801, 22008, 21163, 20083, 23675]",21544.33,1163.2,277.03,7205.25,0.6656,1,16,15,1.8,0.97,3,0.92,184,0.5854,0.7171,1,1,3505,"[""UrbanClap""]",13,5.0,28,1.0,0
